,timestamp_ns,qw,qx,qy,qz,tx_m,ty_m,tz_m
0,315969110459237000,-0.628225554667649,-0.006424275996387667,0.0029641556891100394,-0.7779990969927264,1091.97900444371,-427.279888675285,17.42330369837784
1,315969110559433000,-0.6462017474025937,-0.004910645136092845,0.0029285821106408093,-0.7631452093966149,1091.9250738981157,-427.01744607293585,17.430606528576106
2,315969110659630000,-0.6632629151567511,-0.004302469642423459,0.0029137773028486066,-0.7483684280049326,1091.8852936901046,-426.76247197418706,17.43928517295452
3,315969110677482492,-0.6662139016064987,-0.00412501848209474,0.0030418866077361923,-0.7457430981609113,1091.8796079453966,-426.7165812121868,17.439690847063005
4,315969110692441186,-0.6686685643819291,-0.004023472123614529,0.003148935004143431,-0.7435430363387315,1091.87495393345,-426.6794864831236,17.440584589185033
5,315969110707428275,-0.67113233069366,-0.003963392206936444,0.003236303733493103,-0.7413199124251652,1091.8706850587282,-426.640960837948,17.440736794019994
6,315969110727482491,-0.6743876285563756,-0.0040081223278792865,0.0032103432207328557,-0.7383596380504001,1091.8651726907217,-426.58932631556377,17.440787378576825
7,315969110742441192,-0.676817936683193,-0.004131210597502914,0.003121531758262507,-0.7361322365732849,1091.8610823296328,-426.5490179271839,17.442456809818076
8,315969110757428273,-0.6792337961370554,-0.004233748862442361,0.0030689200305521807,-0.7339033364726317,1091.8576010077297,-426.510417442795,17.442366347877705
9,315969110759163000,-0.6794946466321969,-0.004274863152689187,0.0030192602617944353,-0.7336617986584031,1091.8573183512872,-426.50591892758376,17.442393526329486
10,315969110777482494,-0.6824034536574671,-0.004466016495121374,0.0028759695653212706,-0.7309564350438992,1091.8533728065538,-426.4586974072076,17.44221253543861
11,315969110792441195,-0.6847589620313096,-0.004589187171361611,0.0027366408706912555,-0.728750035386383,1091.8513389423476,-426.41107259858586,17.437843396301332
12,315969110807428272,-0.6870925817091045,-0.004743118217829288,0.002630581014238659,-0.7265496315004344,1091.8487553620575,-426.3720877995502,17.437470796094264
13,315969110827482496,-0.690180224753138,-0.0048925281973388555,0.002539808123287473,-0.7236165213027155,1091.8456269036108,-426.3208363896219,17.43736788985452
14,315969110842441190,-0.6925081062261593,-0.004966964500204103,0.0025029695848898343,-0.7213886519886277,1091.8428802629187,-426.2814015780367,17.439832833759514
15,315969110857428271,-0.6947584449505404,-0.005051636802397038,0.002452769878406729,-0.7192212233071598,1091.8412499163449,-426.2424659787004,17.4394995266026
16,315969110859359000,-0.69504444367813,-0.005064238960474627,0.0024472517013520824,-0.7189447723956411,1091.8410286944018,-426.2374465444508,17.439446779381687
17,315969110877482495,-0.6977420344860725,-0.00513760963820788,0.002435351528197471,-0.7163265507723248,1091.839526028819,-426.18922660877894,17.438524283160312
18,315969110892441189,-0.6999429198958211,-0.005196972013576736,0.0024504277815180038,-0.714175675708218,1091.838269465312,-426.15036446783614,17.438185287836426
19,315969110907428270,-0.7021229089128441,-0.005264163988518927,0.0024621355927631015,-0.7120320549284216,1091.8374090287814,-426.11142544334757,17.437876395812307
20,315969110927482498,-0.7050104899394254,-0.005384178784100629,0.0025218894719306233,-0.7091719535963642,1091.8360123870734,-426.0624456543711,17.438933613229178
21,315969110942441187,-0.7071847471986515,-0.005483573362099889,0.0025702267112528996,-0.7070028696458132,1091.8354382533191,-426.02227440649625,17.44059012369751
22,315969110957428269,-0.7093055856776405,-0.005605394574013551,0.0026031138094287976,-0.7048740238345177,1091.8352003552588,-425.9833343044021,17.440295642450405
23,315969110959556000,-0.7096028022406022,-0.005628024036955373,0.002606310730897144,-0.7045746202795686,1091.835156987359,-425.9777687303281,17.44022204131672
24,315969110977482496,-0.7121007286972963,-0.005756550620113471,0.002644366770427021,-0.7020487316690496,1091.836794545059,-425.92288722678086,17.436024189820213
25,315969110992441186,-0.7141745147074195,-0.0058498809079259775,0.002750642275030265,-0.6999378368132841,1091.8369477833187,-425.8837553638281,17.435553010477747
26,315969111007428271,-0.7162067207187732,-0.006014420096668195,0.0028713390307712355,-0.6978563715839616,1091.834826280569,-425.8563797504447,17.44061249334962
27,315969111027482495,-0.7188802624682644,-0.006149830860236596,0.003018385026489233,-0.6951001634050893,1091.8357192995638,-425.8043077471202,17.440353637635763
